SAMPLEID	SAMPLESOURCE	SAMPLECLASS	BIOLOGICAL_SEX	CONCORDANCE_CONTROL_PATH	IS_POSITIVE_CONTROL	IS_NEGATIVE_CONTROL	SAMPLE_TYPE	TUM_NRM_SAMPLEID_MATCH	EXTERNAL_SAMPLE_ID	N_X	N_Y	TRUTH_DATA_DIR
LSMC-HG003	blood	research	male	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/	true	false	gdna	na	HG003	1	1	/fsx/data/genomic_data/organism_annotations/H_sapiens/hg38/controls/giab/snv/v4.2.1/HG003/
LSMC-NTC	blood	research	female	na	false	true	gdna	na	LSMC_NTC	2	0	na
s74478	blood	research	male	na	false	false	gdna	na	s74478	1	1	na
s77407	blood	research	male	na	false	false	gdna	na	s77407	1	1	na
s77409	blood	research	male	na	false	false	gdna	na	s77409	1	1	na
s77414	blood	research	male	na	false	false	gdna	na	s77414	1	1	na
s77433	blood	research	male	na	false	false	gdna	na	s77433	1	1	na
s77483	blood	research	male	na	false	false	gdna	na	s77483	1	1	na
s77586	blood	research	male	na	false	false	gdna	na	s77586	1	1	na
s77612	blood	research	male	na	false	false	gdna	na	s77612	1	1	na
s77669	blood	research	male	na	false	false	gdna	na	s77669	1	1	na
s77672	blood	research	male	na	false	false	gdna	na	s77672	1	1	na
s77674	blood	research	male	na	false	false	gdna	na	s77674	1	1	na
s77676	blood	research	male	na	false	false	gdna	na	s77676	1	1	na
s77677	blood	research	male	na	false	false	gdna	na	s77677	1	1	na
s77678	blood	research	male	na	false	false	gdna	na	s77678	1	1	na
s77679	blood	research	male	na	false	false	gdna	na	s77679	1	1	na
s77680	blood	research	male	na	false	false	gdna	na	s77680	1	1	na
s77681	blood	research	male	na	false	false	gdna	na	s77681	1	1	na
s77683	blood	research	male	na	false	false	gdna	na	s77683	1	1	na
s77684	blood	research	male	na	false	false	gdna	na	s77684	1	1	na
s77685	blood	research	male	na	false	false	gdna	na	s77685	1	1	na
s77687	blood	research	male	na	false	false	gdna	na	s77687	1	1	na
s77688	blood	research	male	na	false	false	gdna	na	s77688	1	1	na
s77689	blood	research	male	na	false	false	gdna	na	s77689	1	1	na
s77690	blood	research	male	na	false	false	gdna	na	s77690	1	1	na
s77691	blood	research	male	na	false	false	gdna	na	s77691	1	1	na
s77694	blood	research	male	na	false	false	gdna	na	s77694	1	1	na
s77695	blood	research	male	na	false	false	gdna	na	s77695	1	1	na
s77699	blood	research	male	na	false	false	gdna	na	s77699	1	1	na
s77700	blood	research	male	na	false	false	gdna	na	s77700	1	1	na
s77701	blood	research	male	na	false	false	gdna	na	s77701	1	1	na
s77702	blood	research	male	na	false	false	gdna	na	s77702	1	1	na
s77703	blood	research	male	na	false	false	gdna	na	s77703	1	1	na
s77704	blood	research	male	na	false	false	gdna	na	s77704	1	1	na
s77705	blood	research	male	na	false	false	gdna	na	s77705	1	1	na
s77706	blood	research	male	na	false	false	gdna	na	s77706	1	1	na
s77707	blood	research	male	na	false	false	gdna	na	s77707	1	1	na
s77710	blood	research	male	na	false	false	gdna	na	s77710	1	1	na
s77711	blood	research	male	na	false	false	gdna	na	s77711	1	1	na
s77712	blood	research	male	na	false	false	gdna	na	s77712	1	1	na
s77713	blood	research	male	na	false	false	gdna	na	s77713	1	1	na
s77714	blood	research	male	na	false	false	gdna	na	s77714	1	1	na
s77715	blood	research	male	na	false	false	gdna	na	s77715	1	1	na
s77716	blood	research	male	na	false	false	gdna	na	s77716	1	1	na
s77717	blood	research	male	na	false	false	gdna	na	s77717	1	1	na
s77718	blood	research	male	na	false	false	gdna	na	s77718	1	1	na
s77719	blood	research	male	na	false	false	gdna	na	s77719	1	1	na
s77720	blood	research	male	na	false	false	gdna	na	s77720	1	1	na
s77721	blood	research	male	na	false	false	gdna	na	s77721	1	1	na
s77722	blood	research	male	na	false	false	gdna	na	s77722	1	1	na
s77723	blood	research	male	na	false	false	gdna	na	s77723	1	1	na
s77724	blood	research	male	na	false	false	gdna	na	s77724	1	1	na
s77725	blood	research	male	na	false	false	gdna	na	s77725	1	1	na
s77726	blood	research	male	na	false	false	gdna	na	s77726	1	1	na
s77728	blood	research	male	na	false	false	gdna	na	s77728	1	1	na
s77733	blood	research	male	na	false	false	gdna	na	s77733	1	1	na
s77734	blood	research	male	na	false	false	gdna	na	s77734	1	1	na
s77735	blood	research	male	na	false	false	gdna	na	s77735	1	1	na
s77736	blood	research	male	na	false	false	gdna	na	s77736	1	1	na
s77738	blood	research	male	na	false	false	gdna	na	s77738	1	1	na
s77744	blood	research	male	na	false	false	gdna	na	s77744	1	1	na
s77745	blood	research	male	na	false	false	gdna	na	s77745	1	1	na
s77748	blood	research	male	na	false	false	gdna	na	s77748	1	1	na
s77750	blood	research	male	na	false	false	gdna	na	s77750	1	1	na
s77753	blood	research	male	na	false	false	gdna	na	s77753	1	1	na
s77754	blood	research	male	na	false	false	gdna	na	s77754	1	1	na
s77756	blood	research	male	na	false	false	gdna	na	s77756	1	1	na
s77757	blood	research	male	na	false	false	gdna	na	s77757	1	1	na
s77758	blood	research	male	na	false	false	gdna	na	s77758	1	1	na
s77759	blood	research	male	na	false	false	gdna	na	s77759	1	1	na
s77760	blood	research	male	na	false	false	gdna	na	s77760	1	1	na
s77761	blood	research	male	na	false	false	gdna	na	s77761	1	1	na
s77762	blood	research	male	na	false	false	gdna	na	s77762	1	1	na
s77763	blood	research	male	na	false	false	gdna	na	s77763	1	1	na
s77764	blood	research	male	na	false	false	gdna	na	s77764	1	1	na
s77765	blood	research	male	na	false	false	gdna	na	s77765	1	1	na
s77766	blood	research	male	na	false	false	gdna	na	s77766	1	1	na
s77767	blood	research	male	na	false	false	gdna	na	s77767	1	1	na
s77768	blood	research	male	na	false	false	gdna	na	s77768	1	1	na
s77770	blood	research	male	na	false	false	gdna	na	s77770	1	1	na
s77771	blood	research	male	na	false	false	gdna	na	s77771	1	1	na
s77773	blood	research	male	na	false	false	gdna	na	s77773	1	1	na
s77775	blood	research	male	na	false	false	gdna	na	s77775	1	1	na
s77778	blood	research	male	na	false	false	gdna	na	s77778	1	1	na
s77780	blood	research	male	na	false	false	gdna	na	s77780	1	1	na
s77783	blood	research	male	na	false	false	gdna	na	s77783	1	1	na
s77784	blood	research	male	na	false	false	gdna	na	s77784	1	1	na
s77785	blood	research	male	na	false	false	gdna	na	s77785	1	1	na
